               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 146,            0.017209,            0.035318,                   0,             0.97586,                   1,              0.9937,             0.87785,           0.0099402,             0.02229,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.019412,            0.034799,                   0,             0.97601,                   1,             0.99326,             0.84329,            0.013587,            0.024812,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.019679,            0.041393,                   0,             0.97601,                   1,             0.99326,             0.84329,            0.013587,            0.024812,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.019627,            0.036657,                   0,             0.97571,                   1,             0.99217,             0.85127,            0.013718,             0.02338,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.022748,            0.034862,                   0,             0.97571,                   1,             0.99217,             0.85127,            0.013718,             0.02338,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.022918,            0.037932,                   0,             0.97571,                   1,             0.99217,             0.85127,            0.013718,             0.02338,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.023679,             0.03417,                   0,             0.97523,                   1,             0.99065,             0.84865,            0.015335,            0.024577,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.025889,            0.033374,                   0,             0.97523,                   1,             0.99065,             0.84865,            0.015335,            0.024577,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.023355,            0.038132,                   0,              0.9758,                   1,             0.98978,             0.82607,            0.014653,             0.02501,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.019898,            0.038209,                   0,              0.9758,                   1,             0.98978,             0.82607,            0.014653,             0.02501,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.020928,            0.039342,                   0,             0.97583,                   1,             0.98978,             0.86849,           0.0097042,            0.022331,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.020795,            0.032081,                   0,             0.97583,                   1,             0.98978,             0.86849,           0.0097042,            0.022331,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.021455,            0.031909,                   0,             0.97563,                   1,             0.98587,             0.84563,            0.011353,            0.024712,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.018037,            0.034151,                   0,             0.97563,                   1,             0.98587,             0.84563,            0.011353,            0.024712,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.017792,            0.029895,                   0,             0.97563,                   1,             0.98587,             0.84563,            0.011353,            0.024712,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,             0.01723,            0.035423,                   0,             0.97542,                   1,             0.98457,             0.85049,            0.011313,            0.026045,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.019318,            0.030735,                   0,             0.97542,                   1,             0.98457,             0.85049,            0.011313,            0.026045,                   0,           0.0020305,           0.0020305,           0.0020305
